SEX,How many times do you eat a day?,How many hours a day do you sleep?,How many times per week do you eat fastfood?,Average number of steps per day?,Cow's milk,Vegetable drinks (eg soy milk),Low-fat white yogurt,Fresh cheeses,Meat,Processed Meat (es prosciutto),Fish,Eggs,Legumes,Cooked vegetables,Raw vegetables,Fruits,Whole grains food,Nuts,Tofu,Do you eat differently at the weekend?,Do you play a sport (at least 5 hours/week)?,"When are you hungry during the day?","What kind of snacks do you prefer?",Do you ever eat distracted or not at the table?,Do you eat fast?,Do you happen to eat uncontrollably even if you're not hungry?,Do you wake up to eat at night?,"How do you sleep at night?",You like salty or sweet? (where 10 - "I love salt and hate sweet" and 1 - "I am the biggest fan of sweet"),"Do you eat alone or togheter?",Age,How many liters of water do you drink per day?,How many times do you consume alcoholic beverages in a week?,How stress affects on your eating habits?,How many sugary drinks do you consume per day?,"Do you ever miss meals?"
M,4,7-8,1,4000-7000,Yes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Don't know,No,No,"During the morning,In the afternoon,Before lunch,Before Dinner","Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"Good",2,"Often Alone",21-30,3,1,Doesn't have any effect,0,"No"
M,4,7-8,2,4000-7000,Yes,Don't know,Sometimes,Yes,Yes,Don't know,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,Sometimes,No,No,No,"During the morning,In the afternoon,Before Dinner","Sweets,Sandwiches,Bars,breads",Yes,Yes,Often (>1/week),Never,"Good,I struggle to fall asleep",3,"Often Alone",15-20,2,1,I'm starting to eat more,1,"Yes lunch,I have no time"
F,3,5-6,1,7000-10000,Sometimes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,No,"Before lunch","Yes for craving",Yes,No,Often (>1/week),Never,"I struggle to fall asleep,I wake up a lot sooner than I would like",5,"Often Alone",21-30,1,0,I'm starting to eat more,0,"No"
F,3,7-8,0,7000-10000,Yes,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes I eat at restaurants,No,"In the afternoon,After Dinner","Yes for craving",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Together,Alone at breakfast",15-20,1,0,I'm starting to eat more,0,"No"
F,3,5-6,1,7000-10000,Yes,No,Sometimes,No,Yes,Sometimes,Sometimes,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,Sometimes,Yes I eat more at home,No,"Before lunch","Sweets",Yes,Yes,Every day,Never,"Good",7,"Often Alone",15-20,2,0,I'm starting to eat more,0,"No"
F,3,7-8,2,7000-10000,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"During the morning,In the afternoon,Before lunch,Before Dinner","Yes for craving,Sweets,Fruits,vegetables,Nuts",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Together,Often Alone",15-20,1,0,I'm starting to eat less,3,"I have no time"
F,2,5-6,0,10000-15000,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,"After lunch","Fruits,vegetables",Yes,Yes,Never,Never,"Good",10,"Alone at dinner",0-14,1,0,I'm starting to eat less,0,"Yes breakfast"
M,3,7-8,0,4000-7000,Yes,No,Yes,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,Yes,"When I wake Up,Before lunch,Before Dinner","Fruits,vegetables,Nuts,Sandwiches,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",4,"Alone at breakfast,Alone at dinner",15-20,2,0,I'm starting to eat more,1,"No"
M,3,7-8,1,4000-7000,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,"During the morning,Before lunch,Before Dinner","Yes for craving",Yes,No,Infrequent (1/month),Never,"Good",3,"Often Together",15-20,1,0,I'm starting to eat less,2,"No"
M,3,7-8,3,7000-10000,Yes,No,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,Yes,"In the afternoon,Before Dinner","Sandwiches",Yes,Yes,Often (>1/week),Infrequent (1/month),"Good",7,"Often Together",15-20,2,3,I'm starting to eat more,1,"No"
F,3,5-6,0,4000-7000,Sometimes,No,Yes,Yes,Sometimes,No,No,Sometimes,No,Sometimes,No,Yes,Sometimes,Sometimes,No,No,No,"Before lunch","Sweets",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Together",15-20,2,0,I'm starting to eat more,1,"No"
M,2,7-8,2,4000-7000,No,Sometimes,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,No,Sometimes,No,No,No,Yes I eat more at home,Yes,"During the morning,After Dinner","Yes for craving",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep",3,"Often Together",15-20,1,0,I'm starting to eat more,3,"Yes breakfast"
F,5,7-8,0,4000-7000,Sometimes,No,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"During the morning,Before Dinner","Fruits,vegetables,Nuts,Bars,breads",Yes,No,Never,Never,"Good",5,"Often Alone",21-30,2,0,Doesn't have any effect,0,"No"
F,3,5-6,1,4000-7000,Yes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,Yes,"When I wake Up,Before lunch,Before Dinner","Sweets",Yes,Yes,Often (>1/week),Never,"Good",1,"Often Alone",21-30,1,0,I'm starting to eat more,0,"I have no time"
M,3,7-8,0,10000-15000,Yes,No,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,Sometimes,No,Yes I eat more at home,No,"During the morning,Before lunch,Before Dinner","Yes for craving",Yes,Yes,Never,Never,"I wake up several times during the night",5,"Often Alone,Alone at lunch",51-65,2,2,Doesn't have any effect,2,"Yes lunch"
M,3,5-6,1,4000-7000,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,I cook more elaborate,No,"Before lunch","Bars,breads",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",5,"Often Alone",21-30,2,1,I'm starting to eat more,0,"I have no time"
M,3,9-10,0,0-4000,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Sometimes,No,No,Yes,"When I wake Up,After Dinner","Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Alone",15-20,2,0,I'm starting to eat more,1,"I have no time"
F,4,5-6,0,7000-10000,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"Before lunch,After Dinner","Sandwiches,Bars,breads",Yes,No,Often (>1/week),Never,"Good",3,"Often Together,Alone at lunch",15-20,1,0,I'm starting to eat more,1,"No"
F,2,7-8,0,4000-7000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Before lunch","Fruits,vegetables,Nuts",Yes,No,Never,Never,"Good",5,"Often Alone",15-20,1,0,I'm starting to eat less,0,"Yes dinner"
F,3,9-10,0,4000-7000,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes I eat more at home,No,"When I wake Up,Before lunch,Before Dinner","Sweets,Fruits,vegetables",Yes,Yes,Never,Never,"Good",1,"Alone at breakfast,Alone at lunch,Alone at dinner",15-20,3,0,I'm starting to eat more,0,"Yes breakfast"
F,3,7-8,0,4000-7000,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,"When I wake Up,Before lunch,Before Dinner,After Dinner","Fruits,vegetables,Nuts",No,No,Never,Never,"Good",5,"Often Alone",31-50,4,0,Doesn't have any effect,0,"No"
F,5,5-6,3,4000-7000,Sometimes,Sometimes,Yes,Sometimes,Yes,No,Sometimes,No,Yes,Yes,No,No,Yes,Yes,Yes,I cook more elaborate,No,"After Dinner","Bars,breads",No,No,Never,Infrequent (1/month),"I wake up a lot sooner than I would like",1,"Alone at breakfast",15-20,1,0,I have no stress,3,"I have no time"
F,3,7-8,2,7000-10000,No,Sometimes,No,Sometimes,Yes,No,Sometimes,No,Sometimes,Sometimes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,Yes,"When I wake Up,Before lunch,Before Dinner,After Dinner","Sweets,Fruits,vegetables,Nuts,Sandwiches",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",5,"Often Together",15-20,1,0,I'm starting to eat less,2,"Yes lunch,I have no time"
F,3,5-6,0,4000-7000,No,Yes,No,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,No,No,No,"During the morning,Before Dinner","Sandwiches,Bars,breads",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",5,"Often Alone",21-30,2,3,I'm starting to eat less,0,"Yes lunch"
F,2,7-8,1,4000-7000,Yes,Sometimes,No,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Sometimes,No,No,"When I wake Up,Before Dinner","Sweets,Sandwiches,Bars,breads",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together",15-20,2,0,I'm starting to eat more,0,"Yes lunch"
F,3,5-6,0,0-4000,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes I eat more at home,Yes,"In the afternoon,Before lunch","Sweets,Fruits,vegetables,Nuts",Yes,Yes,Infrequent (1/month),Never,"Good,I struggle to fall asleep,I wake up a lot sooner than I would like",1,"Often Alone,Alone at lunch",15-20,3,1,I'm starting to eat more,1,"I have no time"
F,2,2-4,0,7000-10000,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat more at home,No,"After lunch,After Dinner","Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good,I wake up a lot sooner than I would like",7,"Often Alone",15-20,1,0,Doesn't have any effect,1,"Yes breakfast"
F,3,5-6,1,4000-7000,Yes,No,Yes,Yes,Yes,No,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,Yes,No,I cook more elaborate,Yes,"In the afternoon","Fruits,vegetables,Nuts,Sandwiches",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep",6,"Often Alone",15-20,2,0,I'm starting to eat more,0,"No"
F,3,7-8,0,4000-7000,Yes,No,Yes,Yes,Yes,No,Sometimes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,No,No,No,"During the morning,In the afternoon","Sweets,Fruits,vegetables,Sandwiches",Yes,Yes,Every day,Never,"Good",5,"Often Alone",15-20,1,0,I'm starting to eat more,4,"Yes lunch"
F,3,7-8,1,4000-7000,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"In the afternoon,Before lunch,Before Dinner","Sweets,Sandwiches",Yes,Yes,Often (>1/week),Never,"Good",3,"Alone at breakfast",15-20,1,0,I'm starting to eat more,0,"Yes lunch,I have no time"
F,3,5-6,2,10000-15000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,Yes,"During the morning,Before lunch,Before Dinner","Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good,I wake up several times during the night",5,"Often Together,Alone at breakfast",21-30,1,1,I'm starting to eat less,1,"No"
F,4,7-8,0,7000-10000,Sometimes,No,Yes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,No,No,No,"When I wake Up,In the afternoon,Before Dinner","Fruits,vegetables,Nuts",Yes,Yes,Often (>1/week),Never,"Good",3,"Often Alone",15-20,2,0,I'm starting to eat less,0,"No"
F,3,5-6,1,4000-7000,Sometimes,No,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes I eat more at home,No,"During the morning,Before lunch","Sweets,Nuts,Sandwiches",Yes,No,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",8,"Often Alone",15-20,2,1,I'm starting to eat more,2,"Yes breakfast,I have no time"
F,2,7-8,0,4000-7000,No,Yes,No,Yes,Yes,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,No,No,No,No,"When I wake Up,Before Dinner","Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"Good",7,"Often Alone",15-20,1,0,I'm starting to eat more,0,"Yes lunch"
F,3,5-6,1,7000-10000,Yes,No,No,Yes,Yes,Don't know,Sometimes,Sometimes,No,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,No,"During the morning,Before lunch,Before Dinner","Sweets,Fruits,vegetables",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Alone",15-20,2,0,Doesn't have any effect,3,"No"
F,3,7-8,0,4000-7000,Yes,Sometimes,Sometimes,Yes,Yes,No,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,No,No,"When I wake Up,Before lunch,Before Dinner","Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",5,"Often Alone",15-20,1,0,I'm starting to eat more,0,"No"
F,4,7-8,2,4000-7000,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat at restaurants,No,"During the morning","Sandwiches",Yes,No,Often (>1/week),Never,"Good",5,"Often Together",21-30,2,0,I'm starting to eat more,1,"No"
F,3,7-8,1,4000-7000,Sometimes,No,No,Sometimes,Sometimes,No,Yes,Sometimes,No,No,Don't know,Sometimes,Yes,Sometimes,No,No,No,"When I wake Up,During the morning,Before Dinner","Sweets",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Alone",15-20,1,0,I'm starting to eat more,0,"I have no time"
M,3,5-6,0,4000-7000,Yes,No,No,No,Yes,No,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Don't know,No,Yes,"In the afternoon,Before lunch,Before Dinner,I'm always hungry","Sandwiches",Yes,Yes,Never,Never,"Good",5,"Often Together,Alone at breakfast,Alone at dinner",15-20,2,0,Doesn't have any effect,1,"Yes breakfast,I have no time,I'm always hungry"
F,4,7-8,1,4000-7000,Yes,Sometimes,Sometimes,Yes,Yes,No,No,Sometimes,Sometimes,No,Yes,Yes,Yes,Sometimes,No,I cook more elaborate,No,"During the morning,Before lunch,Before Dinner","Fruits,vegetables",Yes,No,Often (>1/week),Never,"Good",5,"Often Alone",15-20,2,0,I'm starting to eat more,0,"No"
F,3,5-6,2,7000-10000,Yes,Sometimes,No,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes I eat more at home,No,"Before lunch,After Dinner","Fruits,vegetables,Sandwiches",Yes,No,Often (>1/week),Never,"Good,I wake up several times during the night",4,"Often Together,Often Alone",15-20,0,0,I'm starting to eat more,2,"Yes breakfast"
F,3,More,1,0-4000,Sometimes,No,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Don't know,Sometimes,No,Yes I eat at restaurants,No,"During the morning,Before Dinner,After Dinner","Sandwiches",Yes,No,Often (>1/week),Never,"Good",2,"Often Together,Alone at breakfast",15-20,1,0,I'm starting to eat more,1,"Yes lunch,I have no time"
F,3,7-8,1,0-4000,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,I cook more elaborate,No,"During the morning,After lunch","Sweets,Fruits,vegetables",Yes,Yes,Infrequent (1/month),Never,"Good",4,"Alone at lunch",21-30,1,0,I'm starting to eat less,0,"I have no time"
F,3,9-10,1,4000-7000,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Don't know,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,No,"During the morning,In the afternoon,Before Dinner","Sweets,Fruits,vegetables,Sandwiches,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",8,"Often Alone",21-30,3,0,I'm starting to eat more,0,"No"
F,2,7-8,3,7000-10000,Yes,Yes,Yes,Yes,Yes,No,Sometimes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat more at home,No,"Before lunch","Sweets,Sandwiches,Bars,breads",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",4,"Often Together,Often Alone,Alone at breakfast,Alone at dinner",15-20,1,1,I'm starting to eat more,1,"Yes lunch,Yes dinner,I have no time"
F,3,9-10,1,0-4000,No,No,Sometimes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"In the afternoon","Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I wake up several times during the night",6,"Often Alone",21-30,1,0,I'm starting to eat more,1,"Yes breakfast,I have no time"
F,3,2-4,0,4000-7000,Yes,Sometimes,No,Don't know,Yes,Don't know,No,Sometimes,No,Yes,Yes,Yes,Sometimes,Sometimes,No,No,No,"In the afternoon","Bars,breads",Yes,No,Never,Never,"I struggle to fall asleep",8,"Often Alone",15-20,1,0,I'm starting to eat less,3,"I have no time"
F,2,5-6,0,7000-10000,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,No,I cook more elaborate,Yes,"During the morning,Before Dinner","Yes for craving,Fruits,vegetables,Bars,breads",Yes,No,Infrequent (1/month),Never,"Good,I struggle to fall asleep",7,"Often Alone",15-20,2,0,I'm starting to eat less,0,"Yes lunch,I have no time"
F,4,5-6,2,7000-10000,Sometimes,No,No,Yes,Yes,Don't know,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,No,Yes I eat at restaurants,No,"I'm always hungry","Sweets,Nuts,Sandwiches",Yes,Yes,Every day,Never,"I wake up a lot sooner than I would like",5,"Often Together,Alone at dinner",21-30,2,1,I'm starting to eat more,1,"I'm always hungry"
F,2,7-8,3,0-4000,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,No,"Before lunch,Before Dinner","Sweets,Fruits,vegetables,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",7,"Often Together",15-20,2,1,I'm starting to eat less,2,"Yes breakfast"
F,3,2-4,2,4000-7000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,Sometimes,Yes I eat more at home,No,"Before Dinner","Sweets,Sandwiches",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together",15-20,3,0,I'm starting to eat less,1,"Yes breakfast,I have no time"
F,3,5-6,1,4000-7000,Yes,Yes,No,Yes,Yes,No,Sometimes,Sometimes,No,Sometimes,Sometimes,Yes,Sometimes,Sometimes,No,Yes I eat more at home,No,"During the morning,Before lunch,Before Dinner","Sweets,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"Good",4,"Often Together",15-20,2,1,I'm starting to eat more,0,"I have no time"
M,4,5-6,3,10000-15000,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,Yes,"In the afternoon,Before lunch","Nuts,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"Good",7,"Often Alone",15-20,2,4,Doesn't have any effect,1,"No"
F,2,7-8,1,4000-7000,Yes,Sometimes,Yes,Yes,Yes,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"Before lunch,Before Dinner","Yes for craving",Yes,Yes,Infrequent (1/month),Never,"Good",1,"Often Together",15-20,1,1,I'm starting to eat less,2,"Yes breakfast,Yes dinner,I have no time"
F,1,5-6,0,4000-7000,No,No,Sometimes,Sometimes,Yes,Don't know,Yes,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,No,"I'm always hungry","Yes for craving",Yes,Yes,Often (>1/week),Never,"I struggle to fall asleep",5,"Often Together",15-20,0,0,I'm starting to eat less,0,"I'm always hungry"
M,2,5-6,1,15000+,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes I eat more at home,No,"When I wake Up,During the morning","Sweets",Yes,No,Often (>1/week),Infrequent (1/month),"Good",5,"Often Alone",21-30,3,3,I'm starting to eat more,2,"Yes breakfast"
F,3,7-8,2,4000-7000,Yes,No,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes,Sometimes,No,No,No,"When I wake Up,Before Dinner","Sweets",Yes,Yes,Never,Never,"Good",3,"Often Alone",15-20,1,1,I'm starting to eat more,0,"No"
F,3,5-6,1,7000-10000,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes I eat at restaurants,Yes,"During the morning,After Dinner","Bars,breads",Yes,No,Often (>1/week),Never,"I struggle to fall asleep",4,"Often Together,Alone at breakfast",15-20,2,1,I'm starting to eat less,0,"I have no time"
F,3,2-4,0,4000-7000,Yes,No,No,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,No,No,"I'm always hungry","Sweets,Fruits,vegetables,Bars,breads",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together,Alone at breakfast",15-20,1,0,I'm starting to eat more,0,"Yes breakfast"
F,2,7-8,3,4000-7000,Sometimes,Sometimes,No,Yes,Yes,No,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,No,Yes I eat more at home,No,"In the afternoon","Sweets,Nuts,Sandwiches,Bars,breads",Yes,No,Often (>1/week),Never,"Good,I wake up several times during the night",5,"Often Alone",21-30,4,1,I'm starting to eat more,3,"Yes breakfast,I have no time"
F,3,7-8,4,0-4000,Yes,Sometimes,Don't know,No,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,No,No,"In the afternoon,Before Dinner","Sweets,Sandwiches",Yes,Yes,Often (>1/week),Never,"Good",5,"Often Together,Often Alone",21-30,1,0,I'm starting to eat more,0,"I have no time"
F,4,7-8,1,7000-10000,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,"When I wake Up,In the afternoon,Before Dinner","Sweets",Yes,Yes,Infrequent (1/month),Never,"Good",3,"Often Alone",15-20,1,0,I'm starting to eat less,1,"No"
F,4,7-8,1,0-4000,Sometimes,Yes,Sometimes,Sometimes,Yes,No,Sometimes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"When I wake Up,After Dinner","Sweets,Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",6,"Often Alone",15-20,1,0,Doesn't have any effect,0,"Yes lunch"
M,3,5-6,1,0-4000,Sometimes,No,No,Yes,Yes,Sometimes,Sometimes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,No,"When I wake Up,In the afternoon,After lunch,After Dinner,I'm always hungry","Sweets,Fruits,vegetables",Yes,No,Never,Never,"I struggle to fall asleep",2,"Often Together",15-20,2,0,I'm starting to eat less,1,"Yes dinner,I'm always hungry"
F,2,5-6,0,4000-7000,Yes,No,Yes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,No,Yes I eat more at home,Yes,"After lunch","Fruits,vegetables",Yes,No,Infrequent (1/month),Never,"Good",7,"Alone at breakfast",0-14,0,0,Doesn't have any effect,0,"Yes lunch"
M,5,7-8,3,7000-10000,Sometimes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,No,Yes I eat at restaurants,No,"Before lunch,After Dinner","Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I wake up several times during the night",7,"Often Alone",15-20,1,2,Doesn't have any effect,1,"No"
F,3,7-8,1,7000-10000,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes I eat at restaurants,No,"When I wake Up,Before lunch,Before Dinner","Yes for craving",Yes,No,Infrequent (1/month),Never,"Good",7,"Often Together,Often Alone,Alone at breakfast",21-30,1,0,I'm starting to eat more,0,"No"
F,4,7-8,2,0-4000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes I eat at restaurants,No,"In the afternoon","Fruits,vegetables,Nuts,Bars,breads",Yes,Yes,Often (>1/week),Never,"I wake up several times during the night",10,"Often Alone",31-50,2,0,I'm starting to eat more,0,"No"
M,3,7-8,1,7000-10000,Yes,Yes,Yes,No,Yes,Sometimes,No,Yes,No,Sometimes,Yes,Yes,Yes,Sometimes,No,Yes I eat at restaurants,No,"After lunch,I'm always hungry","Bars,breads",Yes,Yes,Infrequent (1/month),Never,"I wake up several times during the night",5,"Often Together",15-20,2,0,I'm starting to eat more,1,"I have no time"
F,4,5-6,1,7000-10000,Yes,No,Yes,Yes,Yes,Yes,No,Sometimes,Sometimes,No,Yes,Yes,Yes,Yes,No,Yes I eat more at home,No,"I'm always hungry","Sandwiches",Yes,Yes,Often (>1/week),Infrequent (1/month),"Good",5,"Often Alone",15-20,2,0,I'm starting to eat less,1,"I have no time"
M,4,7-8,0,10000-15000,Don't know,Don't know,No,Sometimes,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Sometimes,Don't know,I cook more elaborate,Yes,"Before lunch","Sandwiches",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep",5,"Often Together,Often Alone",15-20,1,0,I'm starting to eat more,1,"No"
F,3,5-6,2,4000-7000,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes I eat more at home,Yes,"When I wake Up,Before lunch,Before Dinner","Bars,breads",Yes,No,Often (>1/week),Never,"Good",5,"Often Alone,Alone at dinner",15-20,1,0,I'm starting to eat more,0,"Yes breakfast"
F,3,7-8,0,4000-7000,Yes,Yes,No,Yes,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,No,Yes,"When I wake Up,In the afternoon,Before lunch,Before Dinner","Fruits,vegetables,Bars,breads",Yes,Yes,Infrequent (1/month),Never,"I struggle to fall asleep,I wake up several times during the night",9,"Alone at breakfast,Alone at dinner",15-20,1,1,Doesn't have any effect,0,"No"
M,3,7-8,7+,10000-15000,Sometimes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,Yes I eat more at home,No,"Before lunch,Before Dinner","Nuts,Bars,breads",Yes,Yes,Infrequent (1/month),Infrequent (1/month),"I wake up a lot sooner than I would like",5,"Often Alone",15-20,2,1,I'm starting to eat more,4,"I have no time"
